country,source,title,description,URL
Spain,El Pais,La Generalitat consultará a 800 catalanes elegidos por sorteo sobre su hoja de ruta para el referéndum pactado,"Aragonès aspira a tener la propuesta lista a finales de año o principios de 2024, y afirma que se la presentará al Gobierno sin importar “quién esté en La Moncloa”",https://elpais.com/espana/catalunya/2023-04-11/la-generalitat-consultara-a-800-catalanes-elegidos-por-sorteo-sobre-su-hoja-de-ruta-para-el-referendum-pactado.html
Spain,El Pais,ERC renuncia a forzar la destitución de Borràs tras su condena y espera que la Junta Electoral le quite el acta,La Junta de Portavoces acuerda aplazar a mayo el debate sobre la reforma del reglamento del Parlament,https://elpais.com/espana/catalunya/2023-04-11/erc-renuncia-a-forzar-la-destitucion-de-borras-que-propone-el-psc-y-espera-que-la-junta-electoral-le-quite-el-acta.html
Spain,El Pais,El exviceconsejero andaluz de Empleo Agustín Barberá ingresa en prisión para cumplir su condena en el ‘caso de los ERE’,"De los ocho antiguos altos cargos de la Junta condenados por malversación, solo el expresidente José Antonio Griñán, en tratamiento por un cáncer, está en libertad",https://elpais.com/espana/2023-04-11/el-exviceconsejero-andaluz-de-empleo-agustin-barbera-ingresa-en-prision-para-cumplir-su-condena-en-el-caso-de-los-ere.html
Spain,El Pais,Podemos redobla su presión al PSOE con un nuevo cambio legal para paliar la subida del euríbor,La formación de Ione Belarra registra una proposición de ley para convertir en permanente la gratuidad que ya se aplica a los clientes que pasan de una hipoteca variable a otra de tipo fijo,https://elpais.com/espana/2023-04-11/podemos-insta-ahora-al-psoe-a-aprobar-un-nuevo-cambio-legal-para-paliar-el-impacto-de-la-subida-de-los-intereses.html
Spain,El Pais,La Fiscalía eleva a tres años y medio la petición de cárcel para Álvarez-Cascos por llevarse 181.648 euros de Foro Asturias,"El exvicepresidente del Gobierno de Aznar cargó al partido que fundó gastos en videojuegos, mobiliario, zapatos y el alquiler ficticio de una oficina en Madrid",https://elpais.com/espana/2023-04-11/la-fiscalia-eleva-a-tres-anos-y-medio-la-peticion-de-carcel-para-alvarez-cascos-por-llevarse-de-foro-asturias-181648-euros.html
Spain,El Pais,"Colau, sobre el turismo en Barcelona: “Hay que poner límites, los turistas no quieren una ciudad de mentira”",La alcaldesa asegura que “si Collboni sigue este camino nos lo podemos imaginar de número dos de Trias”,https://elpais.com/espana/catalunya/2023-04-11/colau-sobre-el-turismo-en-barcelona-hay-que-poner-limites-los-turistas-no-quieren-una-ciudad-de-mentira.html
Spain,El Pais,"Cataluña, un bálsamo para Yolanda Díaz donde sí se cuece el entendimiento con Podemos","Los comunes y Podem concurren juntos a las elecciones municipales, a diferencia de lo que sucede en otras partes de España, para evitar la pérdida de votos",https://elpais.com/espana/catalunya/2023-04-11/cataluna-un-balsamo-para-yolanda-diaz.html
Spain,El Pais,Portugal aparca de nuevo la regionalización del país,El Gobierno renuncia a convocar en 2024 el referendo que prometió para votar un nuevo modelo territorial,https://elpais.com/internacional/2023-04-11/portugal-aparca-de-nuevo-la-regionalizacion-del-pais.html
Spain,El Pais,Crisis total en Ciudadanos: 6 de 11 concejales abandonan a Villacís a 48 días de las elecciones,Otros tres ediles confirman a EL PAÍS que no continuarán en la formación. El movimiento es un golpe sin precedentes para la vicealcaldesa de la capital y para el propio futuro del partido,https://elpais.com/espana/madrid/2023-04-11/crisis-total-en-ciudadanos-seis-de-los-11-concejales-abandonan-a-villacis-a-48-dias-de-las-elecciones.html
Spain,El Pais,Sunak insta al desbloqueo institucional de Irlanda del Norte al cumplirse 25 años de paz,"Ni el aniversario del Acuerdo de Viernes Santo, ni la presencia de Joe Biden rompen la parálisis",https://elpais.com/internacional/2023-04-10/sunak-insta-al-desbloqueo-institucional-de-irlanda-del-norte-al-cumplirse-25-anos-de-paz.html
